	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
16S_1	56685	46807	46807	46807 (13243 uniques)	45735 (338 uniques)	43854 (252 uniques)	25699 (242 uniques)	25507 (236 uniques)	25507 (236 uniques)	25507 (211 uniques)	20872 (190 uniques)	20862 (185 uniques)	5000 (154 uniques)	5000 (154 uniques)
16S_10	97975	86411	86411	86411 (32892 uniques)	85291 (450 uniques)	82543 (390 uniques)	82532 (387 uniques)	80601 (334 uniques)	80601 (334 uniques)	80601 (286 uniques)	69940 (283 uniques)	69940 (283 uniques)	5000 (210 uniques)	5000 (210 uniques)
16S_100	114779	99619	99619	99619 (44301 uniques)	96131 (1468 uniques)	89140 (1310 uniques)	89026 (1172 uniques)	87119 (1130 uniques)	87119 (1130 uniques)	87119 (906 uniques)	86742 (874 uniques)	86732 (869 uniques)	5000 (508 uniques)	5000 (508 uniques)
16S_101	126440	110493	110493	110493 (44373 uniques)	107094 (1071 uniques)	100294 (1040 uniques)	100101 (861 uniques)	97547 (811 uniques)	97547 (811 uniques)	97547 (564 uniques)	96825 (527 uniques)	96813 (521 uniques)	5000 (292 uniques)	5000 (292 uniques)
16S_102	123415	106310	106310	106310 (39702 uniques)	103988 (798 uniques)	99009 (742 uniques)	98991 (664 uniques)	94604 (560 uniques)	94604 (560 uniques)	94604 (418 uniques)	93151 (396 uniques)	93139 (390 uniques)	5000 (244 uniques)	5000 (244 uniques)
16S_103	185548	164739	164739	164739 (61217 uniques)	160861 (1765 uniques)	151508 (1711 uniques)	151365 (1456 uniques)	147780 (1382 uniques)	147780 (1382 uniques)	147780 (1021 uniques)	145463 (954 uniques)	145443 (944 uniques)	5000 (411 uniques)	5000 (410 uniques)
16S_104	132363	114901	114901	114901 (46870 uniques)	111680 (1268 uniques)	104340 (1031 uniques)	103731 (990 uniques)	99865 (892 uniques)	99865 (892 uniques)	99865 (740 uniques)	99609 (727 uniques)	99583 (714 uniques)	5000 (397 uniques)	5000 (397 uniques)
16S_105	165796	145061	145061	145061 (56667 uniques)	141924 (1518 uniques)	133256 (1471 uniques)	133149 (1246 uniques)	130225 (1191 uniques)	130225 (1191 uniques)	130225 (887 uniques)	128604 (831 uniques)	128592 (825 uniques)	5000 (413 uniques)	5000 (413 uniques)
16S_106	103134	89946	89946	89946 (40482 uniques)	86937 (1437 uniques)	80438 (1219 uniques)	80412 (1136 uniques)	79307 (1104 uniques)	79307 (1104 uniques)	79307 (884 uniques)	79107 (862 uniques)	79095 (856 uniques)	5000 (538 uniques)	5000 (536 uniques)
16S_107	165219	145137	145137	145137 (56261 uniques)	141078 (1473 uniques)	131831 (1459 uniques)	131772 (1200 uniques)	127216 (1092 uniques)	127216 (1092 uniques)	127216 (782 uniques)	125761 (723 uniques)	125739 (712 uniques)	5000 (351 uniques)	5000 (350 uniques)
16S_108	120073	103463	103463	103463 (46280 uniques)	100057 (1645 uniques)	92054 (1391 uniques)	91945 (1292 uniques)	90415 (1257 uniques)	90415 (1257 uniques)	90415 (1028 uniques)	90009 (993 uniques)	89999 (988 uniques)	5000 (588 uniques)	5000 (587 uniques)
16S_109	166893	147588	147588	147588 (60356 uniques)	143816 (1425 uniques)	134743 (1380 uniques)	134704 (1207 uniques)	131176 (1128 uniques)	131176 (1128 uniques)	131176 (813 uniques)	130495 (779 uniques)	130485 (774 uniques)	5000 (437 uniques)	5000 (436 uniques)
16S_11	136564	121747	121747	121747 (31787 uniques)	120719 (331 uniques)	118567 (272 uniques)	115835 (221 uniques)	115473 (201 uniques)	115473 (201 uniques)	115473 (182 uniques)	26080 (168 uniques)	26080 (168 uniques)	5000 (151 uniques)	5000 (150 uniques)
16S_110	145370	128287	128287	128287 (48140 uniques)	125098 (1453 uniques)	117824 (1411 uniques)	117741 (1201 uniques)	113967 (1136 uniques)	113967 (1136 uniques)	113967 (837 uniques)	113358 (794 uniques)	113346 (788 uniques)	5000 (369 uniques)	5000 (369 uniques)
16S_111	204408	172462	172462	172462 (61395 uniques)	167977 (1651 uniques)	158785 (1694 uniques)	158679 (1424 uniques)	154400 (1331 uniques)	154400 (1331 uniques)	154400 (946 uniques)	152865 (890 uniques)	152839 (877 uniques)	5000 (393 uniques)	5000 (393 uniques)
16S_112	275601	243607	243607	243607 (84008 uniques)	238809 (1790 uniques)	225905 (1917 uniques)	225768 (1517 uniques)	216884 (1342 uniques)	216884 (1342 uniques)	216884 (866 uniques)	215469 (809 uniques)	215437 (793 uniques)	5000 (292 uniques)	5000 (292 uniques)
16S_113	167889	144540	144540	144540 (62731 uniques)	140123 (1826 uniques)	130056 (1635 uniques)	129951 (1488 uniques)	126804 (1420 uniques)	126804 (1420 uniques)	126804 (1094 uniques)	126254 (1065 uniques)	126240 (1058 uniques)	5000 (552 uniques)	5000 (549 uniques)
16S_114	97748	85635	85635	85635 (35516 uniques)	83736 (1195 uniques)	78898 (1066 uniques)	72603 (1027 uniques)	71714 (995 uniques)	71714 (995 uniques)	71714 (832 uniques)	71330 (809 uniques)	71324 (806 uniques)	5000 (548 uniques)	5000 (547 uniques)
16S_115	128250	110466	110466	110466 (46286 uniques)	107048 (1143 uniques)	98657 (972 uniques)	98587 (911 uniques)	93155 (768 uniques)	93155 (768 uniques)	93155 (600 uniques)	92969 (587 uniques)	92946 (575 uniques)	5000 (358 uniques)	5000 (358 uniques)
16S_116	103506	90805	90805	90805 (39500 uniques)	88001 (1335 uniques)	81958 (1144 uniques)	81909 (1045 uniques)	80318 (1004 uniques)	80318 (1004 uniques)	80318 (797 uniques)	80201 (783 uniques)	80179 (772 uniques)	5000 (456 uniques)	5000 (455 uniques)
16S_117	126173	109010	109010	109010 (46183 uniques)	105285 (1240 uniques)	97987 (1096 uniques)	97846 (1039 uniques)	93941 (936 uniques)	93941 (936 uniques)	93941 (740 uniques)	93820 (722 uniques)	93807 (715 uniques)	5000 (437 uniques)	5000 (437 uniques)
16S_118	212001	184268	184268	184268 (72082 uniques)	180498 (2171 uniques)	170981 (2138 uniques)	170853 (1882 uniques)	167193 (1799 uniques)	167193 (1799 uniques)	167193 (1397 uniques)	166373 (1340 uniques)	166361 (1334 uniques)	5000 (623 uniques)	5000 (623 uniques)
16S_119	245812	215312	215312	215312 (82902 uniques)	211273 (2311 uniques)	200259 (2282 uniques)	200063 (2048 uniques)	195674 (1942 uniques)	195674 (1942 uniques)	195674 (1491 uniques)	195014 (1443 uniques)	195008 (1440 uniques)	5000 (591 uniques)	5000 (591 uniques)
16S_12	75683	62569	62569	62569 (10120 uniques)	62059 (178 uniques)	61654 (157 uniques)	24640 (151 uniques)	24297 (139 uniques)	24297 (139 uniques)	24297 (132 uniques)	24206 (126 uniques)	24206 (126 uniques)	5000 (104 uniques)	5000 (104 uniques)
16S_120	224349	196322	196322	196322 (74943 uniques)	192410 (1890 uniques)	182290 (1879 uniques)	182049 (1638 uniques)	176727 (1509 uniques)	176727 (1509 uniques)	176727 (1097 uniques)	173046 (1029 uniques)	173035 (1023 uniques)	5000 (430 uniques)	5000 (430 uniques)
16S_121	231729	200597	200597	200597 (81174 uniques)	196173 (2385 uniques)	184706 (2326 uniques)	184473 (2060 uniques)	180539 (1980 uniques)	180539 (1980 uniques)	180539 (1534 uniques)	179900 (1477 uniques)	179888 (1471 uniques)	5000 (637 uniques)	5000 (636 uniques)
16S_122	143103	127213	127213	127213 (49736 uniques)	124312 (1470 uniques)	117341 (1324 uniques)	117245 (1206 uniques)	113527 (1113 uniques)	113527 (1113 uniques)	113527 (875 uniques)	113075 (852 uniques)	113067 (848 uniques)	5000 (434 uniques)	5000 (434 uniques)
16S_123	127039	112664	112664	112664 (44478 uniques)	109187 (1181 uniques)	102455 (1156 uniques)	102398 (963 uniques)	99819 (897 uniques)	99819 (897 uniques)	99819 (656 uniques)	98931 (612 uniques)	98901 (597 uniques)	5000 (334 uniques)	5000 (334 uniques)
16S_124	122342	104831	104831	104831 (45815 uniques)	102127 (1353 uniques)	94789 (1208 uniques)	94625 (1094 uniques)	93519 (1057 uniques)	93519 (1057 uniques)	93519 (828 uniques)	92577 (789 uniques)	92551 (776 uniques)	5000 (479 uniques)	5000 (478 uniques)
16S_125	106511	93323	93323	93323 (40819 uniques)	90001 (1284 uniques)	83798 (1118 uniques)	83706 (1001 uniques)	81829 (963 uniques)	81829 (963 uniques)	81829 (763 uniques)	81435 (737 uniques)	81423 (731 uniques)	5000 (440 uniques)	5000 (439 uniques)
16S_126	178859	156381	156381	156381 (62143 uniques)	152847 (1980 uniques)	143824 (1817 uniques)	143669 (1644 uniques)	141424 (1588 uniques)	141424 (1588 uniques)	141424 (1253 uniques)	141041 (1221 uniques)	141025 (1213 uniques)	5000 (584 uniques)	5000 (583 uniques)
16S_127	242742	209800	209800	209800 (83917 uniques)	204752 (2371 uniques)	191528 (2241 uniques)	191380 (2006 uniques)	185777 (1856 uniques)	185777 (1856 uniques)	185777 (1408 uniques)	185086 (1358 uniques)	185072 (1351 uniques)	5000 (601 uniques)	5000 (599 uniques)
16S_128	150352	129223	129223	129223 (54692 uniques)	125323 (1723 uniques)	116634 (1518 uniques)	116550 (1398 uniques)	113671 (1319 uniques)	113671 (1319 uniques)	113671 (1042 uniques)	113313 (1012 uniques)	113295 (1003 uniques)	5000 (508 uniques)	5000 (506 uniques)
16S_129	128853	117629	117629	117629 (47155 uniques)	113988 (1722 uniques)	106688 (1491 uniques)	106606 (1400 uniques)	104276 (1338 uniques)	104276 (1338 uniques)	104276 (1057 uniques)	104084 (1035 uniques)	104072 (1029 uniques)	5000 (546 uniques)	5000 (546 uniques)
16S_13	93176	78862	78862	78862 (17634 uniques)	77906 (390 uniques)	76734 (341 uniques)	44837 (312 uniques)	43479 (290 uniques)	43479 (290 uniques)	43479 (250 uniques)	37693 (233 uniques)	37685 (229 uniques)	5000 (170 uniques)	5000 (170 uniques)
16S_130	137983	120417	120417	120417 (51771 uniques)	116431 (1647 uniques)	107559 (1428 uniques)	107476 (1300 uniques)	104385 (1217 uniques)	104385 (1217 uniques)	104385 (959 uniques)	104125 (940 uniques)	104113 (934 uniques)	5000 (487 uniques)	5000 (487 uniques)
16S_131	146928	130312	130312	130312 (47453 uniques)	127534 (1051 uniques)	121054 (1084 uniques)	121050 (896 uniques)	119013 (840 uniques)	119013 (840 uniques)	119013 (560 uniques)	118130 (517 uniques)	118108 (506 uniques)	5000 (248 uniques)	5000 (248 uniques)
16S_132	148693	128402	128402	128402 (58575 uniques)	124891 (1340 uniques)	116350 (1208 uniques)	116313 (1140 uniques)	114559 (1082 uniques)	114559 (1082 uniques)	114559 (867 uniques)	113681 (842 uniques)	113677 (840 uniques)	5000 (550 uniques)	5000 (550 uniques)
16S_133	130861	113502	113502	113502 (45022 uniques)	111523 (1174 uniques)	105913 (1244 uniques)	105688 (1068 uniques)	105550 (1057 uniques)	105550 (1057 uniques)	105550 (654 uniques)	104931 (637 uniques)	104925 (634 uniques)	5000 (406 uniques)	5000 (404 uniques)
16S_134	150286	125052	125052	125052 (51651 uniques)	122102 (1617 uniques)	114850 (1484 uniques)	114739 (1371 uniques)	112252 (1293 uniques)	112252 (1293 uniques)	112252 (1028 uniques)	111920 (1004 uniques)	111914 (1001 uniques)	5000 (547 uniques)	5000 (546 uniques)
16S_135	205316	176167	176167	176167 (71475 uniques)	172683 (2203 uniques)	162997 (2026 uniques)	162764 (1887 uniques)	160168 (1815 uniques)	160168 (1815 uniques)	160168 (1429 uniques)	159480 (1394 uniques)	159470 (1389 uniques)	5000 (696 uniques)	5000 (695 uniques)
16S_136	206724	187029	187029	187029 (65026 uniques)	183251 (1786 uniques)	174201 (1834 uniques)	174109 (1551 uniques)	169141 (1440 uniques)	169141 (1440 uniques)	169141 (1026 uniques)	167091 (956 uniques)	167063 (942 uniques)	5000 (401 uniques)	5000 (401 uniques)
16S_137	167572	147818	147818	147818 (48331 uniques)	145350 (933 uniques)	139289 (933 uniques)	139243 (836 uniques)	129758 (644 uniques)	129758 (644 uniques)	129758 (451 uniques)	129013 (436 uniques)	129003 (431 uniques)	5000 (220 uniques)	5000 (220 uniques)
16S_138	175974	153705	153705	153705 (59432 uniques)	149975 (1834 uniques)	141316 (1779 uniques)	141233 (1564 uniques)	138171 (1497 uniques)	138171 (1497 uniques)	138171 (1157 uniques)	137674 (1120 uniques)	137660 (1113 uniques)	5000 (548 uniques)	5000 (548 uniques)
16S_139	102409	89909	89909	89909 (40069 uniques)	86562 (1375 uniques)	80191 (1181 uniques)	80102 (1093 uniques)	78261 (1041 uniques)	78261 (1041 uniques)	78261 (840 uniques)	78031 (817 uniques)	78017 (810 uniques)	5000 (519 uniques)	5000 (519 uniques)
16S_14	132444	118382	118382	118382 (27417 uniques)	117907 (176 uniques)	117149 (170 uniques)	116312 (158 uniques)	112950 (118 uniques)	112950 (118 uniques)	112950 (98 uniques)	86144 (92 uniques)	86144 (92 uniques)	5000 (71 uniques)	5000 (71 uniques)
16S_140	174549	149012	149012	149012 (41225 uniques)	147172 (492 uniques)	142619 (544 uniques)	142591 (494 uniques)	131501 (290 uniques)	131501 (290 uniques)	131501 (161 uniques)	131316 (152 uniques)	131310 (149 uniques)	5000 (81 uniques)	5000 (81 uniques)
16S_141	197107	169853	169853	169853 (45801 uniques)	168160 (510 uniques)	163537 (568 uniques)	163520 (520 uniques)	152239 (315 uniques)	152239 (315 uniques)	152239 (175 uniques)	152083 (167 uniques)	152079 (165 uniques)	5000 (89 uniques)	5000 (89 uniques)
16S_142	226681	196509	196509	196509 (40877 uniques)	194883 (371 uniques)	191031 (430 uniques)	190990 (373 uniques)	180366 (215 uniques)	180366 (215 uniques)	180366 (108 uniques)	180139 (105 uniques)	180135 (103 uniques)	5000 (57 uniques)	5000 (57 uniques)
16S_143	277854	239821	239821	239821 (62686 uniques)	237457 (660 uniques)	230629 (797 uniques)	230594 (713 uniques)	211700 (402 uniques)	211700 (402 uniques)	211700 (200 uniques)	211310 (189 uniques)	211306 (187 uniques)	5000 (96 uniques)	5000 (95 uniques)
16S_144	313307	266470	266470	266470 (70550 uniques)	264151 (713 uniques)	252798 (1090 uniques)	252719 (841 uniques)	226771 (470 uniques)	226771 (470 uniques)	226771 (140 uniques)	224992 (134 uniques)	224987 (130 uniques)	5000 (68 uniques)	5000 (66 uniques)
16S_145	224566	194008	194008	194008 (60364 uniques)	191667 (815 uniques)	184395 (798 uniques)	184348 (742 uniques)	172662 (489 uniques)	172662 (489 uniques)	172662 (315 uniques)	165226 (295 uniques)	165220 (292 uniques)	5000 (161 uniques)	5000 (161 uniques)
16S_146	223417	194330	194330	194330 (61180 uniques)	191446 (793 uniques)	182923 (831 uniques)	182855 (771 uniques)	167415 (397 uniques)	167415 (397 uniques)	167415 (228 uniques)	165657 (217 uniques)	165646 (211 uniques)	5000 (145 uniques)	5000 (145 uniques)
16S_147	121094	103947	103947	103947 (40512 uniques)	101953 (772 uniques)	97194 (665 uniques)	97132 (637 uniques)	91501 (493 uniques)	91501 (493 uniques)	91501 (389 uniques)	90794 (373 uniques)	90792 (372 uniques)	5000 (242 uniques)	5000 (242 uniques)
16S_148	173879	146156	146156	146156 (66350 uniques)	141302 (1190 uniques)	125868 (1122 uniques)	125805 (1015 uniques)	117855 (837 uniques)	117855 (837 uniques)	117855 (547 uniques)	117606 (541 uniques)	117594 (535 uniques)	5000 (361 uniques)	5000 (359 uniques)
16S_149	189854	165188	165188	165188 (68714 uniques)	160980 (1235 uniques)	148204 (1193 uniques)	148189 (1074 uniques)	136669 (849 uniques)	136669 (849 uniques)	136669 (658 uniques)	136608 (654 uniques)	136596 (648 uniques)	5000 (412 uniques)	5000 (412 uniques)
16S_15	114709	100347	100347	100347 (22304 uniques)	99823 (84 uniques)	99150 (68 uniques)	99120 (61 uniques)	98340 (36 uniques)	98340 (36 uniques)	98340 (33 uniques)	75148 (30 uniques)	75148 (30 uniques)	5000 (22 uniques)	5000 (22 uniques)
16S_150	272974	228349	228349	228349 (99120 uniques)	219830 (2418 uniques)	197521 (2147 uniques)	197407 (2012 uniques)	179542 (1741 uniques)	179542 (1741 uniques)	179542 (1402 uniques)	175002 (1348 uniques)	174974 (1334 uniques)	5000 (655 uniques)	5000 (651 uniques)
16S_151	234167	197732	197732	197732 (71482 uniques)	191969 (1667 uniques)	179325 (1434 uniques)	179265 (1364 uniques)	165242 (1135 uniques)	165242 (1135 uniques)	165242 (905 uniques)	163416 (872 uniques)	163374 (851 uniques)	5000 (427 uniques)	5000 (426 uniques)
16S_152	291660	248561	248561	248561 (102448 uniques)	239998 (2329 uniques)	218479 (2065 uniques)	218443 (1936 uniques)	194351 (1540 uniques)	194351 (1540 uniques)	194351 (1257 uniques)	192983 (1218 uniques)	192941 (1197 uniques)	5000 (527 uniques)	5000 (523 uniques)
16S_153	196430	169042	169042	169042 (53953 uniques)	164301 (1426 uniques)	155801 (1192 uniques)	155498 (1126 uniques)	143006 (887 uniques)	143006 (887 uniques)	143006 (766 uniques)	140366 (736 uniques)	140321 (713 uniques)	5000 (339 uniques)	5000 (337 uniques)
16S_154	309618	261428	261428	261428 (98308 uniques)	255047 (1757 uniques)	234488 (1723 uniques)	234451 (1610 uniques)	206496 (1051 uniques)	206496 (1051 uniques)	206496 (709 uniques)	206193 (697 uniques)	206175 (687 uniques)	5000 (375 uniques)	5000 (371 uniques)
16S_16	30758	26180	26180	26180 (7512 uniques)	25708 (133 uniques)	24850 (91 uniques)	15855 (87 uniques)	15433 (81 uniques)	15433 (81 uniques)	15433 (73 uniques)	15044 (66 uniques)	15044 (66 uniques)	5000 (61 uniques)	5000 (61 uniques)
16S_17	89187	77019	77019	77019 (36141 uniques)	75377 (946 uniques)	71726 (788 uniques)	71689 (765 uniques)	71417 (756 uniques)	71417 (756 uniques)	71417 (641 uniques)	58348 (626 uniques)	58348 (626 uniques)	5000 (502 uniques)	5000 (502 uniques)
16S_18	114936	102661	102661	102661 (24366 uniques)	102243 (180 uniques)	98944 (152 uniques)	98903 (148 uniques)	98843 (143 uniques)	98843 (143 uniques)	98843 (131 uniques)	18342 (126 uniques)	18342 (126 uniques)	5000 (121 uniques)	5000 (121 uniques)
16S_19	194052	171626	171626	171626 (37308 uniques)	170967 (227 uniques)	165952 (181 uniques)	165888 (176 uniques)	165490 (161 uniques)	165490 (161 uniques)	165490 (148 uniques)	23032 (137 uniques)	23032 (137 uniques)	5000 (127 uniques)	5000 (127 uniques)
16S_2	130548	114248	114248	114248 (26615 uniques)	113437 (220 uniques)	111141 (184 uniques)	108755 (137 uniques)	108653 (129 uniques)	108653 (129 uniques)	108653 (120 uniques)	16600 (113 uniques)	16600 (113 uniques)	5000 (108 uniques)	5000 (107 uniques)
16S_20	123416	105049	105049	105049 (35415 uniques)	103340 (739 uniques)	100077 (631 uniques)	89890 (611 uniques)	87332 (547 uniques)	87332 (547 uniques)	87332 (463 uniques)	85480 (452 uniques)	85480 (452 uniques)	5000 (319 uniques)	5000 (319 uniques)
16S_21	201236	174386	174386	174386 (61719 uniques)	172675 (722 uniques)	168242 (622 uniques)	168188 (607 uniques)	165961 (553 uniques)	165961 (553 uniques)	165961 (462 uniques)	133792 (450 uniques)	133792 (450 uniques)	5000 (302 uniques)	5000 (301 uniques)
16S_22	168429	138744	138744	138744 (31624 uniques)	137783 (293 uniques)	131173 (244 uniques)	83824 (232 uniques)	82484 (220 uniques)	82484 (220 uniques)	82484 (188 uniques)	78128 (169 uniques)	78126 (168 uniques)	5000 (90 uniques)	5000 (90 uniques)
16S_23	112638	100973	100973	100973 (38449 uniques)	99557 (810 uniques)	96390 (691 uniques)	96358 (667 uniques)	95996 (656 uniques)	95996 (656 uniques)	95996 (555 uniques)	50618 (543 uniques)	50618 (543 uniques)	5000 (428 uniques)	5000 (428 uniques)
16S_24	131592	115804	115804	115804 (32860 uniques)	115159 (250 uniques)	113494 (219 uniques)	113408 (215 uniques)	113074 (196 uniques)	113074 (196 uniques)	113074 (179 uniques)	42871 (173 uniques)	42869 (172 uniques)	5000 (149 uniques)	5000 (149 uniques)
16S_25	101233	87643	87643	87643 (22620 uniques)	86858 (191 uniques)	84668 (152 uniques)	84376 (146 uniques)	83571 (120 uniques)	83571 (120 uniques)	83571 (107 uniques)	23378 (90 uniques)	23374 (88 uniques)	5000 (81 uniques)	5000 (81 uniques)
16S_26	128230	110745	110745	110745 (43127 uniques)	109358 (714 uniques)	105316 (606 uniques)	105287 (590 uniques)	104063 (554 uniques)	104063 (554 uniques)	104063 (466 uniques)	78458 (450 uniques)	78458 (450 uniques)	5000 (343 uniques)	5000 (343 uniques)
16S_27	884	266	266	266 (240 uniques)	85 (9 uniques)	73 (6 uniques)	70 (5 uniques)	70 (5 uniques)	70 (5 uniques)	70 (5 uniques)	40 (3 uniques)	40 (3 uniques)	/	/
16S_27_r	54991	49756	49756	49756 (7344 uniques)	49574 (38 uniques)	49480 (32 uniques)	49480 (28 uniques)	49480 (28 uniques)	49480 (28 uniques)	49480 (27 uniques)	22294 (22 uniques)	22294 (22 uniques)	5000 (19 uniques)	5000 (19 uniques)
16S_28	49376	40821	40821	40821 (5379 uniques)	40683 (50 uniques)	40633 (45 uniques)	9716 (41 uniques)	9716 (41 uniques)	9716 (41 uniques)	9716 (41 uniques)	9689 (37 uniques)	9689 (37 uniques)	5000 (37 uniques)	5000 (37 uniques)
16S_28_r	49896	41332	41332	41332 (8997 uniques)	40961 (57 uniques)	40111 (46 uniques)	24955 (42 uniques)	24472 (35 uniques)	24472 (35 uniques)	24472 (32 uniques)	24433 (30 uniques)	24433 (30 uniques)	5000 (26 uniques)	5000 (26 uniques)
16S_29	186208	165965	165965	165965 (28928 uniques)	165443 (70 uniques)	164933 (64 uniques)	164908 (58 uniques)	164398 (36 uniques)	164398 (36 uniques)	164398 (31 uniques)	92994 (25 uniques)	92994 (25 uniques)	5000 (18 uniques)	5000 (18 uniques)
16S_3	134148	119128	119128	119128 (57018 uniques)	116752 (1239 uniques)	111026 (1105 uniques)	110950 (1067 uniques)	110336 (1052 uniques)	110336 (1052 uniques)	110336 (816 uniques)	106707 (802 uniques)	106703 (800 uniques)	5000 (535 uniques)	5000 (535 uniques)
16S_30	186504	154266	154266	154266 (33106 uniques)	153089 (424 uniques)	149300 (349 uniques)	94674 (324 uniques)	90762 (296 uniques)	90762 (296 uniques)	90762 (266 uniques)	85816 (243 uniques)	85814 (242 uniques)	5000 (131 uniques)	5000 (131 uniques)
16S_31	87115	79005	79005	79005 (29774 uniques)	77882 (736 uniques)	75308 (627 uniques)	75292 (608 uniques)	75050 (602 uniques)	75050 (602 uniques)	75050 (520 uniques)	35977 (507 uniques)	35977 (507 uniques)	5000 (444 uniques)	5000 (442 uniques)
16S_32	145900	126830	126830	126830 (55204 uniques)	124971 (649 uniques)	120652 (614 uniques)	120526 (591 uniques)	118705 (533 uniques)	118705 (533 uniques)	118705 (400 uniques)	114223 (395 uniques)	114221 (394 uniques)	5000 (272 uniques)	5000 (272 uniques)
16S_33	64699	56069	56069	56069 (24280 uniques)	54708 (627 uniques)	52310 (491 uniques)	52267 (482 uniques)	52058 (473 uniques)	52058 (473 uniques)	52058 (432 uniques)	38842 (410 uniques)	38840 (409 uniques)	5000 (329 uniques)	5000 (329 uniques)
16S_34	81051	70851	70851	70851 (28840 uniques)	69572 (466 uniques)	67125 (401 uniques)	64344 (393 uniques)	63779 (379 uniques)	63779 (379 uniques)	63779 (309 uniques)	53625 (293 uniques)	53623 (292 uniques)	5000 (249 uniques)	5000 (249 uniques)
16S_35	10009	9324	9324	9324 (1220 uniques)	9250 (17 uniques)	9215 (14 uniques)	9215 (12 uniques)	9215 (12 uniques)	9215 (12 uniques)	9215 (12 uniques)	2044 (7 uniques)	2044 (7 uniques)	/	/
16S_35_r	53124	46952	46952	46952 (8482 uniques)	46745 (27 uniques)	46299 (23 uniques)	46285 (19 uniques)	46277 (18 uniques)	46277 (18 uniques)	46277 (18 uniques)	28630 (11 uniques)	28630 (11 uniques)	5000 (8 uniques)	5000 (8 uniques)
16S_36	145710	121588	121588	121588 (24838 uniques)	120978 (355 uniques)	118040 (309 uniques)	65574 (297 uniques)	64239 (273 uniques)	64239 (273 uniques)	64239 (243 uniques)	64108 (236 uniques)	64108 (236 uniques)	5000 (167 uniques)	5000 (167 uniques)
16S_37	2684	1814	1814	1814 (492 uniques)	1721 (16 uniques)	1675 (11 uniques)	1675 (10 uniques)	1675 (10 uniques)	1675 (10 uniques)	1675 (10 uniques)	382 (8 uniques)	382 (8 uniques)	/	/
16S_37_r	75242	66401	66401	66401 (11364 uniques)	66154 (35 uniques)	66052 (29 uniques)	66036 (23 uniques)	66031 (22 uniques)	66031 (22 uniques)	66031 (22 uniques)	46528 (17 uniques)	46528 (17 uniques)	5000 (15 uniques)	5000 (15 uniques)
16S_38	86806	70415	70415	70415 (12280 uniques)	69747 (356 uniques)	68977 (296 uniques)	19676 (287 uniques)	19676 (287 uniques)	19676 (287 uniques)	19676 (255 uniques)	15794 (233 uniques)	15790 (231 uniques)	5000 (216 uniques)	5000 (216 uniques)
16S_39	141263	124751	124751	124751 (56546 uniques)	122497 (1204 uniques)	116937 (1063 uniques)	116896 (1016 uniques)	115833 (989 uniques)	115833 (989 uniques)	115833 (777 uniques)	102401 (765 uniques)	102399 (764 uniques)	5000 (529 uniques)	5000 (528 uniques)
